"model","dgp","k","n_trees","nu","q","rmse","setting","ci_length","rmse.x","coverage","rmse.y","min_node_size","sample_fraction","mtry","ps_model"
"bart_ps-bart","dgp30",2,75,3,0.9,0.480565282110311,"default",1.84215620630985,NA,NA,NA,NA,NA,NA,NA
"bart_ps-glm","dgp30",2,75,3,0.9,0.650370686249953,"default",1.80379645839181,NA,NA,NA,NA,NA,NA,NA
"bart_s-learner","dgp30",2,75,3,0.9,0.644934330319465,"default",1.79478192114496,NA,NA,NA,NA,NA,NA,NA
"bart_t-learner","dgp30",2,75,3,0.9,1.10193608873055,"default",1.99872580170154,NA,NA,NA,NA,NA,NA,NA
"bart_ps-bart","dgp30",3,100,10,0.75,0.466359747983385,"tuned",1.82723796715728,0.466359747983385,0.95,0.466359747983385,NA,NA,NA,NA
"bart_ps-glm","dgp30",1,200,3,0.99,0.595379238029367,"tuned",1.7841716409309,0.595379238029367,0.8,0.595379238029367,NA,NA,NA,NA
"bart_s-learner","dgp30",1,200,10,0.75,0.594798092301766,"tuned",1.78515215018467,0.594798092301766,0.85,0.594798092301766,NA,NA,NA,NA
"bart_t-learner","dgp30",1,200,10,0.75,0.89848141285838,"tuned",2.01942891726305,0.89848141285838,0.6,0.89848141285838,NA,NA,NA,NA
"causal_forest",NA,NA,NA,NA,NA,0.99664351341879,"default",1.93267825258296,NA,NA,NA,5,0.5,26,NA
"causal_forest",NA,NA,NA,NA,NA,0.964898518803901,"tuned",1.9369234357204,0.964898518803901,0.55,0.964898518803901,20,0.5,26,NA
"iptw",NA,NA,NA,NA,NA,11.8598388379262,"default",2.341194977077,NA,NA,NA,NA,NA,NA,"linear_basic"
"iptw",NA,NA,NA,NA,NA,1.39220565698674,"tuned",2.97701726818374,1.39220565698674,0.7,1.39220565698674,NA,NA,NA,"bart"
